Páginas principais,Cliques,Impressões,CTR,Posição
https://alisamentonatural.com.br/blog/hidraliso-funciona-resenha,47,4197,1.12%,7.79
https://alisamentonatural.com.br/blog/alisamento-natural-com-maizena-funciona,12,4403,0.27%,10.6
https://alisamentonatural.com.br/blog/melhores-progressivas-de-chuveiro,11,2019,0.54%,16
https://alisamentonatural.com.br/blog/como-usar-hidraliso-passo-a-passo,9,1149,0.78%,10.32
https://alisamentonatural.com.br/,3,279,1.08%,13.37
https://alisamentonatural.com.br/blog/hidraliso-vs-la-bella-liss,2,418,0.48%,8.99
https://alisamentonatural.com.br/dicas,0,36,0%,39.89
https://alisamentonatural.com.br/blog,0,10,0%,32.3
https://alisamentonatural.com.br/sitemap.xml,0,4,0%,6.25
http://alisamentonatural.com.br/,0,2,0%,9
https://alisamentonatural.com.br/thumbnails/ranking.svg,0,1,0%,27